1.000000E+6 3.831646E-5 1.500000E+6 1.098681E-4 2.000000E+6 2.409468E-4 4
 2.500000E+6 4.551442E-4 3.000000E+6 7.825126E-4 3.500000E+6 1.262375E-3    5
 4.000000E+6 1.947036E-3 4.500000E+6 2.905959E-3 5.000000E+6 4.227988E-3    6
 5.500000E+6 6.014948E-3 6.000000E+6 8.360204E-3 6.500000E+6 1.134050E-2    7
 7.000000E+6 1.511037E-2 7.500000E+6 2.008426E-2 8.000000E+6 2.701527E-2    8
 8.500000E+6 3.701428E-2 9.000000E+6 5.171691E-2 9.500000E+6 7.360549E-2    9
 1.000000E+7 1.063047E-1 1.050000E+7 1.541944E-1 1.100000E+7 2.191250E-1   10
 1.150000E+7 2.940653E-1 1.200000E+7 3.718665E-1 1.250000E+7 4.630249E-1   11
 1.300000E+7 5.633113E-1 1.350000E+7 6.176348E-1 1.400000E+7 5.792134E-1   12
 1.450000E+7 4.815801E-1 1.500000E+7 3.802759E-1 1.550000E+7 2.987225E-1   13
 1.600000E+7 2.381971E-1 1.650000E+7 1.939518E-1 1.700000E+7 1.612783E-1   14
 1.750000E+7 1.366926E-1 1.800000E+7 1.178044E-1 1.850000E+7 1.029987E-1   15
 1.900000E+7 9.117616E-2 1.950000E+7 8.157676E-2 2.000000E+7 7.366539E-2   16
 2.100000E+7 6.112241E-2 2.200000E+7 5.194579E-2 2.300000E+7 4.499368E-2   17
 2.400000E+7 3.958093E-2 2.500000E+7 3.527592E-2 2.600000E+7 3.179517E-2   18
 2.700000E+7 2.894554E-2 2.800000E+7 2.659106E-2 2.900000E+7 2.463304E-2   19
 3.000000E+7 2.299783E-2 3.200000E+7 2.048233E-2 3.400000E+7 1.872028E-2   20
 3.600000E+7 1.749791E-2 3.800000E+7 1.666615E-2 4.000000E+7 1.611744E-2   21
 4.200000E+7 1.577269E-2 4.400000E+7 1.557330E-2 4.600000E+7 1.547569E-2   22
 4.800000E+7 1.544752E-2 5.000000E+7 1.546478E-2 5.200000E+7 1.550972E-2   23
 5.400000E+7 1.556931E-2 5.600000E+7 1.563398E-2 5.800000E+7 1.569683E-2   24
 6.000000E+7 1.575288E-2 6.200000E+7 1.579868E-2 6.400000E+7 1.583185E-2   25
 6.600000E+7 1.585088E-2 6.800000E+7 1.585484E-2 7.000000E+7 1.584333E-2   26
 7.200000E+7 1.581626E-2 7.400000E+7 1.577383E-2 7.600000E+7 1.571643E-2   27
 7.800000E+7 1.564461E-2 8.000000E+7 1.555902E-2 8.500000E+7 1.528969E-2   28
 9.000000E+7 1.495156E-2 9.500000E+7 1.455804E-2 1.000000E+8 1.412262E-2   29
 1.100000E+8 1.317813E-2 1.200000E+8 1.221677E-2 1.300000E+8 1.132789E-2   30
 1.400000E+8 1.059208E-2 1.500000E+8 9.675136E-3 1.600000E+8 8.882672E-3   31
 1.700000E+8 8.192335E-3 1.800000E+8 7.586668E-3 1.900000E+8 7.051862E-3   32
 2.000000E+8 6.576865E-3
